RE 1E6
fim 35
-10	-0.5435824
-9.5	-0.579721
-9	-0.6328489
-8.5	-0.7324617
-8	-0.6675043
-7.5	-0.604538
-7	-0.5464367
-6.5	-0.5034634
-6	-0.4585664
-5.5	-0.4071167
-5	-0.3562244
-4.5	-0.3054138
-4	-0.2540834
-3.5	-0.2015911
-3	-0.1502263
-2.5	-0.09495936
-1.5	0.007297253
-1	0.0627664
-0.5	0.1187114
0	0.1754477
1	0.2876198
1.5	0.3431258
2	0.397735
2.5	0.4502022
3.5	0.5339024
4	0.5853158
4.5	0.6361933
5	0.684778
5.5	0.7232376
6	0.7568973
6.5	0.8078742
7	0.8571247
7.5	0.9070545
8	0.9558403
8.5	1.001404
9	1.044878
9.5	1.077299
10	0.8004338
10.5	0.7899985
11	0.7657014
11.5	0.7317327
12	0.6993314
12.5	0.6667393
14	0.7761191
14.5	0.7677385
15	0.7762079
15.5	0.7863875
16	0.7977836
16.5	0.8101257
17	0.8231382
17.5	0.8366911
18	0.8506529
18.5	0.8672485
19	0.8825836
19.5	0.8981117
20	0.9091073
20.5	0.9238523
21	0.9390134
21.5	0.9542286
22	0.9693165
22.5	0.984256
23	0.9990441
23.5	1.013659
24	1.028047
24.5	1.042282
25	1.056368
25.5	1.070326
26	1.084196
26.5	1.097945
27	1.111314
27.5	1.123905
28	1.136057
28.5	1.14781
29	1.159096
29.5	1.169777
30	1.179687
34	1.25694
34.5	1.264318
35	1.271243

RE 1.5E6
fim 33.5
-9.5	-0.8406582
-9	-0.7878788
-8.5	-0.7254365
-8	-0.6728318
-7.5	-0.6177033
-7	-0.567315
-6.5	-0.5172548
-6	-0.4653176
-5.5	-0.4196256
-5	-0.3667202
-4.5	-0.3151462
-4	-0.2623212
-3.5	-0.2079237
-3	-0.152881
-2.5	-0.09723948
-2	-0.04421098
-1.5	0.007715418
-1	0.0637031
-0.5	0.1199037
0	0.1767108
0.5	0.2330674
1	0.2895685
1.5	0.3449085
2.5	0.4444627
3	0.4881308
3.5	0.5415648
4	0.595664
4.5	0.6480557
5	0.6962993
5.5	0.7439513
6	0.7894647
6.5	0.830622
7.5	0.9235516
8	0.9731387
8.5	1.022627
9.5	1.102195
10	1.145063
10.5	1.185421
11	1.22477
11.5	1.266232
12	1.304305
12.5	1.29618
13	1.316401
13.5	1.325242
14	1.318865
14.5	1.298659
15	1.262621
15.5	1.20846
20	0.9098916
20.5	0.9248422
21	0.9402843
21.5	0.9561341
22	0.9726609
22.5	0.9878245
23	1.002655
23.5	1.017216
24	1.031493
24.5	1.045456
25	1.059072
25.5	1.072294
26	1.085018
26.5	1.096528
27	1.109226
27.5	1.121618
28	1.133703
28.5	1.145487
29	1.156997
29.5	1.168519
30	1.180337
30.5	1.191379
31	1.202014
31.5	1.212307
32	1.222291
32.5	1.231893
33	1.240808
33.5	1.249112



RE 2E6
fim 35
-10	-0.9104668
-9.5	-0.8511054
-9	-0.7881544
-8.5	-0.7334841
-8	-0.6867073
-7.5	-0.634707
-7	-0.5810996
-6.5	-0.5294297
-5.5	-0.4257566
-5	-0.3727491
-4.5	-0.3196349
-4	-0.2652234
-3.5	-0.2102506
-3	-0.1542115
-2.5	-0.09832552
-2	-0.04343244
-1.5	0.008872276
-1	0.0641302
-0.5	0.1207609
0	0.1772887
0.5	0.2338521
1	0.290384
1.5	0.3454718
2.5	0.4411823
3	0.4914563
3.5	0.5463065
4	0.6007577
4.5	0.6518497
5	0.7062396
5.5	0.7568634
6	0.8054048
6.5	0.8500367
7	0.8925017
7.5	0.9390023
8	0.9894097
8.5	1.034806
9	1.074268
9.5	1.124165
10	1.171931
10.5	1.217875
11	1.263978
11.5	1.311799
12	1.339084
12.5	1.372242
13	1.398032
13.5	1.417338
14	1.43062
14.5	1.438279
15	1.439546
15.5	1.433233
16	1.418675
16.5	1.393906
17	1.356562
17.5	1.299058
19.5	0.8966994
20	0.9132783
20.5	0.9283176
21	0.9436301
21.5	0.9589651
22	0.9740929
22.5	0.9888944
29	1.157923
29.5	1.170466
30	1.18234
30.5	1.193517
31	1.203568
31.5	1.213104
32	1.222149
32.5	1.230679
33	1.238666
33.5	1.246037
34	1.253356
34.5	1.260908
35	1.268046


RE 2.5E6
fim 20
-7.5	-0.6296042
-6.5	-0.5157625
-6	-0.4891419
-5.5	-0.4351649
-5	-0.3813309
-4.5	-0.3249236
-4	-0.2697536
-3.5	-0.2141346
-3	-0.1592115
-2.5	-0.1027964
-1	0.06383962
-0.5	0.1192482
0	0.1728262
0.5	0.2229232
1	0.2724558
1.5	0.3272937
2	0.38153
2.5	0.436115
3	0.4908918
3.5	0.5447207
